Test ID,AP_RSSI,AP_Tx Rate,AP_Noise,AP_MCS,AP_Throughput,AP_FDR,Client_RSSI,Client_Tx Rate,Client_Noise,Client_MCS,Client_Throughput,Client_FDR,GoPing_Min,GoPing_Avg,GoPing_Max,GoPing_Std. Dev,GoPing_Loss,Label
463,-74,52,-95,MCS5,39.2,0.823269,-72,52,-95,MCS5,32.6,0.729206,727.51,1170.5304967603,1588.96,119.0617817968,0,0
464,-68,65,-95,MCS7,57.2,0.825777,-66,65,-95,MCS7,53.7,0.881019,671.21,755.1305030181,862.94,33.2279218655,0,0
465,-68,65,-95,MCS7,56.9,0.896171,-68,65,-95,MCS7,49.8,0.728042,667.54,755.0060859189,874.65,32.6293232098,0,0
466,-67,65,-95,MCS7,56.9,0.89697,-67,65,-95,MCS7,47.6,0.745362,671.93,757.9975983437,845.38,32.1705101582,0,0
467,-67,65,-95,MCS7,56.6,0.897151,-67,65,-95,MCS7,51.5,0.879419,619.75,758.8829534884,1104.25,45.1794544875,0,0
468,-67,65,-95,MCS7,57.2,0.897434,-67,65,-95,MCS7,49.1,0.87918,671.07,828.3953828306,2130.51,226.8930462067,0,0
469,-76,39,-95,MCS4,32.3,0.897721,-75,39,-95,MCS4,20.5,0.706049,705.54,1366.5082365145,1789.25,216.2635685571,0,0
470,-67,65,-95,MCS7,33.7,0.896092,-68,65,-95,MCS7,54.1,0.794563,663.65,757.1521179625,847.64,34.3938766928,0,0
471,-67,65,-95,MCS7,56.9,0.897573,-67,65,-95,MCS7,54.1,0.855484,1.45,641.8644375,845.92,226.4875427252,0.09,0
472,-67,65,-95,MCS7,57.2,0.898226,-67,65,-95,MCS7,50.5,0.873271,684.98,760.1155645161,854.78,32.6315526741,0,0
473,-78,39,-95,MCS4,22.4,0.660023,-78,39,-95,MCS4,24.5,0.67366,713.38,1910.1121290323,2576.86,256.2665125845,0,0
474,-67,65,-95,MCS7,22.4,0.893458,-68,65,-95,MCS7,27.4,0.677687,643.03,785.4287576375,2280.34,160.5466054061,0,0
475,-68,65,-95,MCS7,54.4,0.894001,-67,65,-95,MCS7,54.1,0.870189,675.42,756.9305714286,872.98,33.8654498399,0,0
476,-68,65,-95,MCS7,55.2,0.895923,-66,65,-95,MCS7,53.2,0.872358,664.88,753.3079454927,843.41,32.9745968607,0,0
477,-67,65,-95,MCS7,56.9,0.896865,-67,65,-95,MCS7,54.1,0.87409,657.89,757.0706903766,866.28,34.2152190278,0,0
478,-68,65,-95,MCS7,56.9,0.897268,-65,65,-95,MCS7,54.1,0.874784,652.93,849.8694050343,3589.96,421.9793652249,0,0
479,-82,19.5,-95,MCS2,16.7,0.875577,-81,19.5,-95,MCS2,16.3,0.718761,686.53,2378.8864666667,3090.49,609.8150209959,0.01,0
